,E_grid,E_DG,Q_prod,E_total,T_amb,GHI
2024-01-01 00:00:00,26.103916295800985,0.0,0.0,26.103916295800985,27.048229845162425,0.0
2024-01-01 01:00:00,4.436912905012916,0.0,0.0,4.436912905012916,28.443448869258013,0.0
2024-01-01 02:00:00,14.995674149006046,0.0,0.0,14.995674149006046,28.45352210620877,0.0
2024-01-01 03:00:00,20.866253872007537,0.0,0.0,20.866253872007537,28.014717212794782,0.0
2024-01-01 04:00:00,18.172754793630304,0.0,0.0,18.172754793630304,26.90495698592903,0.0
2024-01-01 05:00:00,21.50557564095328,0.0,0.0,21.50557564095328,26.260109786374056,0.0
2024-01-01 06:00:00,49.268576039385415,0.0,0.0,49.268576039385415,25.882046107308142,0.0
2024-01-01 07:00:00,15.474526900484577,18.3456513503897,0.0,33.82017825087428,25.23159721228747,202.4384670528494
2024-01-01 08:00:00,12.163659647644934,37.42978521718881,0.0,49.59344486483374,23.411102072826914,355.0458109837674
2024-01-01 09:00:00,0.0,48.90761380689972,0.0,39.21002922745044,23.636827914520243,430.8162858562683
2024-01-01 10:00:00,0.0,60.6069656254996,0.0,39.401495233946584,23.189079137530676,522.7783931103065
2024-01-01 11:00:00,0.0,67.26116329208736,0.0,50.280668240715215,22.108711341368963,578.1739912264243
2024-01-01 12:00:00,0.0,68.05824415737374,0.0,34.232566762062596,20.926232690958784,572.6928472321068
2024-01-01 13:00:00,0.0,81.1880135134455,0.0,49.12914496832741,20.517405914894454,690.9779522311815
2024-01-01 14:00:00,0.0,82.30148434065208,0.0,33.55528537010097,20.945274177693477,686.3558468394931
2024-01-01 15:00:00,0.0,62.9370888261088,0.0,32.770694689481424,20.83795575592561,499.2262461579728
2024-01-01 16:00:00,4.35994124395873,35.04266509232965,0.0,39.40260633628838,21.485779679488857,267.6203031289114
2024-01-01 17:00:00,4.1383626314682544,26.572994265792563,0.0,30.711356897260817,22.12133495775634,179.24107472379123
2024-01-01 18:00:00,47.52700731103757,2.275892492778299e-15,0.0,47.52700731103757,23.091293270053768,8.507124156936742e-14
2024-01-01 19:00:00,54.22213441510252,0.0,0.0,54.22213441510252,22.823419633282853,0.0
2024-01-01 20:00:00,45.9754331162733,0.0,0.0,45.9754331162733,24.406157479531096,0.0
2024-01-01 21:00:00,40.9879883473243,0.0,0.0,40.9879883473243,25.0194771614846,0.0
2024-01-01 22:00:00,20.727283458944967,0.0,0.0,20.727283458944967,25.99603048363876,0.0
2024-01-01 23:00:00,20.570654279883883,0.0,0.0,20.570654279883883,27.202426166093726,0.0
2024-01-02 00:00:00,17.011307752382763,0.0,0.0,17.011307752382763,30.569852274605733,0.0
2024-01-02 01:00:00,23.850757964339145,0.0,0.0,23.850757964339145,31.13216264203814,0.0
2024-01-02 02:00:00,18.04109728578444,0.0,0.0,18.04109728578444,30.764995550018707,0.0
2024-01-02 03:00:00,16.292312008607276,0.0,0.0,16.292312008607276,30.377932421468415,0.0
2024-01-02 04:00:00,16.91416025041086,0.0,0.0,16.91416025041086,29.956850103354917,0.0
2024-01-02 05:00:00,17.485860464904093,0.0,0.0,17.485860464904093,28.659696657790153,0.0
2024-01-02 06:00:00,43.83298850930433,0.0,0.0,43.83298850930433,29.472067947283875,0.0
2024-01-02 07:00:00,26.80170475254502,17.815789539985296,0.0,44.61749429253032,27.797117875800563,200.1430601524246
