,E_grid,E_DG,Q_prod,T_amb,GHI,E_total
2024-01-01 00:00:00,26.103916295800985,0.0,0.0,27.048229845162425,0.0,26.103916295800985
2024-01-01 01:00:00,4.436912905012916,0.0,0.0,28.443448869258013,0.0,4.436912905012916
2024-01-01 02:00:00,14.995674149006046,0.0,0.0,28.45352210620877,0.0,14.995674149006046
2024-01-01 03:00:00,20.866253872007537,0.0,0.0,28.014717212794782,0.0,20.866253872007537
2024-01-01 04:00:00,18.172754793630304,0.0,0.0,26.90495698592903,0.0,18.172754793630304
2024-01-01 05:00:00,21.50557564095328,0.0,0.0,26.260109786374056,0.0,21.50557564095328
2024-01-01 06:00:00,49.268576039385415,0.0,0.0,25.882046107308142,0.0,49.268576039385415
2024-01-01 07:00:00,15.474526900484577,18.3456513503897,0.0,25.23159721228747,202.4384670528494,33.82017825087428
2024-01-01 08:00:00,12.163659647644934,37.42978521718881,0.0,23.411102072826914,355.0458109837674,49.59344486483374
2024-01-01 09:00:00,0.0,48.90761380689972,0.0,23.636827914520243,430.8162858562683,48.90761380689972
2024-01-01 10:00:00,0.0,60.6069656254996,0.0,23.189079137530676,522.7783931103065,60.6069656254996
2024-01-01 11:00:00,0.0,67.26116329208736,0.0,22.108711341368963,578.1739912264243,67.26116329208736
2024-01-01 12:00:00,0.0,68.05824415737374,0.0,20.926232690958784,572.6928472321068,68.05824415737374
2024-01-01 13:00:00,0.0,81.1880135134455,0.0,20.517405914894454,690.9779522311815,81.1880135134455
2024-01-01 14:00:00,0.0,82.30148434065208,0.0,20.945274177693477,686.3558468394931,82.30148434065208
2024-01-01 15:00:00,0.0,62.9370888261088,0.0,20.83795575592561,499.2262461579728,62.9370888261088
2024-01-01 16:00:00,4.35994124395873,35.04266509232965,0.0,21.485779679488857,267.6203031289114,39.40260633628838
2024-01-01 17:00:00,4.1383626314682544,26.572994265792563,0.0,22.12133495775634,179.24107472379123,30.711356897260817
2024-01-01 18:00:00,47.52700731103757,2.275892492778299e-15,0.0,23.091293270053768,8.507124156936742e-14,47.52700731103757
2024-01-01 19:00:00,54.22213441510252,0.0,0.0,22.823419633282853,0.0,54.22213441510252
2024-01-01 20:00:00,45.9754331162733,0.0,0.0,24.406157479531096,0.0,45.9754331162733
2024-01-01 21:00:00,40.9879883473243,0.0,0.0,25.0194771614846,0.0,40.9879883473243
2024-01-01 22:00:00,20.727283458944967,0.0,0.0,25.99603048363876,0.0,20.727283458944967
2024-01-01 23:00:00,20.570654279883883,0.0,0.0,27.202426166093726,0.0,20.570654279883883
2024-01-02 00:00:00,17.011307752382763,0.0,0.0,30.569852274605733,0.0,17.011307752382763
2024-01-02 01:00:00,23.850757964339145,0.0,0.0,31.13216264203814,0.0,23.850757964339145
2024-01-02 02:00:00,18.04109728578444,0.0,0.0,30.764995550018707,0.0,18.04109728578444
2024-01-02 03:00:00,16.292312008607276,0.0,0.0,30.377932421468415,0.0,16.292312008607276
2024-01-02 04:00:00,16.91416025041086,0.0,0.0,29.956850103354917,0.0,16.91416025041086
2024-01-02 05:00:00,17.485860464904093,0.0,0.0,28.659696657790153,0.0,17.485860464904093
2024-01-02 06:00:00,43.83298850930433,0.0,0.0,29.472067947283875,0.0,43.83298850930433
2024-01-02 07:00:00,26.80170475254502,17.815789539985296,0.0,27.797117875800563,200.1430601524246,44.61749429253032
2024-01-02 08:00:00,4.4450757646036365,39.28947054578896,0.0,27.305148954836028,380.9608751447888,43.734546310392595
2024-01-02 09:00:00,0.0,53.902153057725315,0.0,26.485832029846968,496.03481471361295,53.902153057725315
2024-01-02 10:00:00,0.0,71.49984105095963,0.0,24.679542670309505,646.5861332350474,71.49984105095963
2024-01-02 11:00:00,0.0,76.67719292495809,0.0,24.11565349445184,677.1375587908844,76.67719292495809
2024-01-02 12:00:00,0.0,75.93837819501626,0.0,24.794621465116784,666.8881362383244,75.93837819501626
2024-01-02 13:00:00,0.0,80.34900300605327,0.0,23.816677790664606,696.8794707817981,80.34900300605327
2024-01-02 14:00:00,0.0,69.6840326918793,0.0,23.261907592685315,575.4169836312512,69.6840326918793
2024-01-02 15:00:00,0.0,,0.0,23.608286527259065,546.5016493364719,
2024-01-02 16:00:00,0.5881961525156356,,0.0,24.564229964005456,330.46546976211863,
2024-01-02 17:00:00,18.589634483111627,,0.0,25.04448393054881,207.68874508460257,
2024-01-02 18:00:00,47.72811380252026,,0.0,24.56915954371475,8.064850605332358e-14,
2024-01-02 19:00:00,45.64893038815343,,0.0,26.963475688811698,0.0,
2024-01-02 20:00:00,51.7877515176892,,0.0,27.535274440333914,0.0,
2024-01-02 21:00:00,43.062236102645954,,0.0,27.881829458022604,0.0,
2024-01-02 22:00:00,18.807443733297355,,0.0,28.206339203291215,0.0,
2024-01-02 23:00:00,10.201601525189268,,0.0,30.054078479017953,0.0,
2024-01-03 00:00:00,32.521046511145364,,0.0,29.9629896771169,0.0,
2024-01-03 01:00:00,33.78661272956652,,0.0,29.34552821669691,0.0,
2024-01-03 02:00:00,24.58320950716983,,0.0,30.077647976044865,0.0,
2024-01-03 03:00:00,35.14733310211227,,0.0,31.637513877132037,0.0,
